السؤال,الخدمة
لو سمحت صدرلي رخصة,اصدار الرخصة
بالرجاء تصدير رخصة,اصدار الرخصة
إذا ما عليك امر تصدرلي رخصة,اصدار الرخصة
ابصدر رخصة,اصدار الرخصة
صدرلي رخصة لثلاث سنوات,اصدار الرخصة
ارجو اصدار رخصة,اصدار الرخصة
الرجاء اصدار رخصة لمدة سنتين,اصدار الرخصة
لو سمحت ممكن تصدرلي رخصة,اصدار الرخصة
بالرجاء اصدار رخصة لي,اصدار الرخصة
قم باصدار رخصة سنة واحدة,اصدار الرخصة
طيب صدرلي رخصة لمدة ثلاثة سنين,اصدار الرخصة
ابدأ بإصدار الرخصة لحسابي,اصدار الرخصة
اصدرلي رخصة على حسابي,اصدار الرخصة
أبجدد رخصتي لو سمحت,تجديد الرخصة
ارجو تجديد رخصة,تجديد الرخصة
جددلي الرخصة لاهنت,تجديد الرخصة
قم بتجديد رخصتي لسنتين,تجديد الرخصة
الرجاء تجديد الرخصة لمدة سنة,تجديد الرخصة
لو سمحت جددلي رخصتي لمدة ثلاثة سنوات,تجديد الرخصة
ارجو تجديد رخصتي لمدة سنتين,تجديد الرخصة
بالرجاء تجديد رخصتي,تجديد الرخصة
جددلي رخصة حسابي,تجديد الرخصة
ابدء بتجديد رخصة حسابي,تجديد الرخصة
طيب جددلي رخصتي,تجديد الرخصة
ابجدد رخصتي سنتين,تجديد الرخصة
ابجدد الرخصة,تجديد الرخصة
هل ممكن أن تقوم بتعدلي الرخصة,تعديل الرخصة
قم بتعديل الرخصة,تعديل الرخصة
ممكن تعدلي الرخصة إذا مافي سقلة,تعديل الرخصة
بعدل نشاط الرخصة,تعديل الرخصة
قم بتعديل نشاط رخصتي,تعديل الرخصة
ارجو تعديل رخصتي لنشاط آخر,تعديل الرخصة
بالرجاء تعديل الرخصة نشاطها,تعديل الرخصة
طيب عدلي رخصتي إلى نشاط آخر,تعديل الرخصة
لو سمحت تعدلي رخصتي,تعديل الرخصة
طيب عدلي نشاط رخصتي,تعديل الرخصة
ابعدل نشاط رخصتي,تعديل الرخصة
الرجاء تعديل رخصتي ونشاطها,تعديل الرخصة
عدلي رخصتي,تعديل الرخصة
أبشطب رخصتي لو سمحت,شطب الرخصة
طيب اشطب لي الرخصة,شطب الرخصة
بالله تشطبلي الرخصة وتريحني منها,شطب الرخصة
اشطبلي رخصتي,شطب الرخصة
بشطب الرخصة الي عندي,شطب الرخصة
لو سمحت تشطب لي رخصتي,شطب الرخصة
ممكن تشطبلي رخصتي,شطب الرخصة
طيب اشطبلي رخصتي,شطب الرخصة
الرجاء اشطب الرخصة,شطب الرخصة
قم بشطب الرخصة,شطب الرخصة
ارجو شطب الرخصة,شطب الرخصة
ابشطب رخصتي,شطب الرخصة
بالرجاء شطب رخصتي,شطب الرخصة
قم بعرض قائمة بالرخص إلي عندي,استعراض الرخصة
واعرض لي كافة الرخص,استعراض الرخصة
اعرضلي رخصتي لاهنت,استعراض الرخصة
ورني رخصتي,استعراض الرخصة
ممكن اشوف رخصتي,استعراض الرخصة
ارسلي صورة عن رخصتي,استعراض الرخصة
عطني تفاصيل الرخصة,استعراض الرخصة
اعرضلي تفاصيل رخصتي,استعراض الرخصة
لو سمحت ارسلي الرخصة,استعراض الرخصة
ارجو عرض تفاصيل الرخصة,استعراض الرخصة
بالرجاء اطبعلي تفاصيل رخصتي,استعراض الرخصة
طيب اعرضلي رخصتي وتفاصيلها,استعراض الرخصة
عطني صورة عن الرخصة,استعراض الرخصة
